web-scraper-order,web-scraper-start-url,link_toko,link_toko-href,nama_toko,Jml_produk,chat,follower,rating_toko,bergabung,promo,alamat_toko,link_produk,link_produk-href,nama_produk,promo_produk,terjual,gratis_ongkir,favorit
"1668866427-1","https://shopee.co.id/mall/brands/11042849","69Slam","https://shopee.co.id/69slam","","439","45% (hitungan jam)","7,4RB","4.8 (1,7RB penilaian)","24 bulan lalu","null","KAB. BADUNG","30%off69slam Sandal pria ARSIKI-ATMurah LebayRp285.000Rp200.000108 TerjualKAB. BADUNG","https://shopee.co.id/69slam-Sandal-pria-ARSIKI-AT-i.340815435.12428025981?sp_atk=a6c4aaf7-4270-4cae-a744-d438df9c1306&xptdk=a6c4aaf7-4270-4cae-a744-d438df9c1306","null","null","null","null","null"
"1668866478-2","https://shopee.co.id/mall/brands/11042849","4CM","https://shopee.co.id/4cmstore","","508","39% (hitungan jam)","60,8RB","4.7 (28,5RB penilaian)","5 tahun lalu","null","KOTA DEPOK","30%off4CM Boxer black fireMurah LebayRp99.000Rp69.30010RB+ TerjualKOTA DEPOK","https://shopee.co.id/4CM-Boxer-black-fire-i.32984432.7155464356?sp_atk=59b7b599-0359-4bb8-b2e5-ec5d4d6295fe&xptdk=59b7b599-0359-4bb8-b2e5-ec5d4d6295fe","null","null","null","null","null"
"1668866517-3","https://shopee.co.id/mall/brands/11042849","4.20","https://shopee.co.id/4.20official","","121","81% (hitungan jam)","50,8RB","4.9 (7,2RB penilaian)","4 tahun lalu","null","KOTA BANDUNG","40%off4.20 T-Shirt Philosophy Mandala NavyPilih 2, bayar Rp170.000Rp102.000 - Rp170.000322 TerjualKOTA BANDUNG","https://shopee.co.id/4.20-T-Shirt-Philosophy-Mandala-Navy-i.87828273.10739275158?sp_atk=cbf82100-d657-4871-8262-b21f3d274d72&xptdk=cbf82100-d657-4871-8262-b21f3d274d72","null","null","null","null","null"
"1668866597-4","https://shopee.co.id/mall/brands/11042849","3Second","https://shopee.co.id/3secondshop","","9,2RB","86% (hitungan jam)","451,2RB","4.9 (115,8RB penilaian)","6 tahun lalu","null","KOTA BANDUNG","40%off3Second Men Jacket 021021Diskon Rp15RBRp449.500Rp269.70049 TerjualKOTA BANDUNG","https://shopee.co.id/3Second-Men-Jacket-021021-i.18358818.11761195939?sp_atk=d3021c7d-9314-486a-adeb-b48d45e1b6d1&xptdk=d3021c7d-9314-486a-adeb-b48d45e1b6d1","null","null","null","null","null"
"1668866625-5","https://shopee.co.id/mall/brands/11042849","308ABSLTUNSCRD","https://shopee.co.id/308absltunscrd","","3,2RB","88% (hitungan jam)","64,5RB","4.8 (21,4RB penilaian)","4 tahun lalu","null","KAB. SLEMAN","10%off308 ABSLTUNSCRD - Bracelete Rubber Au Small Circle - BlackRp20.000Rp18.000216 TerjualKAB. SLEMAN","https://shopee.co.id/308-ABSLTUNSCRD-Bracelete-Rubber-Au-Small-Circle-Black-i.93881215.3918271445?sp_atk=390e1128-6d14-47aa-8d47-4c0fa5c07bab&xptdk=390e1128-6d14-47aa-8d47-4c0fa5c07bab","null","null","null","null","null"
"1668866652-6","https://shopee.co.id/mall/brands/11042849","3'NThree","https://shopee.co.id/3nthreeofficial","","241","90% (hitungan jam)","7,1RB","4.8 (378 penilaian)","3 tahun lalu","null","KOTA TANGERANG","40%off3Nthree kemeja koko Pria Muslim originalDiskon Rp2,5RBMurah LebayRp249.000Rp149.40032 TerjualKOTA TANGERANG","https://shopee.co.id/3Nthree-kemeja-koko-Pria-Muslim-original-i.184001696.15666321843?sp_atk=9bd698a1-9924-4d9b-9dc3-c77e805be01e&xptdk=9bd698a1-9924-4d9b-9dc3-c77e805be01e","null","null","null","null","null"
"1668866695-7","https://shopee.co.id/mall/brands/11042849","2nd Red","https://shopee.co.id/2ndred","","311","83% (hitungan jam)","8,9RB","4.8 (13RB penilaian)","5 tahun lalu","null","KAB. BANDUNG BARAT","62%off2nd Red Celana Jeans Legend Slim Fit Premium Bahan Melar Warna Biru Muda 133266Diskon 10%Rp399.900Rp151.9624,3RB TerjualKAB. BANDUNG BARAT","https://shopee.co.id/2nd-Red-Celana-Jeans-Legend-Slim-Fit-Premium-Bahan-Melar-Warna-Biru-Muda-133266-i.23917033.1889960272?sp_atk=ab5ebdf2-936f-47c9-9783-a5b7ba26ca04&xptdk=ab5ebdf2-936f-47c9-9783-a5b7ba26ca04","null","null","null","null","null"
"1668866724-8","https://shopee.co.id/mall/brands/11042849","2FAB4YOU","https://shopee.co.id/2fab4you","","149","40% (hitungan menit)","1,9RB","4.9 (426 penilaian)","4 tahun lalu","null","KOTA JAKARTA BARAT","2FAB4YOU T-shirt OG FLAMINGO White/Putih - Pria/WanitaRp199.00013 TerjualKOTA JAKARTA BARAT","https://shopee.co.id/2FAB4YOU-T-shirt-OG-FLAMINGO-White-Putih-Pria-Wanita-i.73775993.2881168942?sp_atk=501edd0b-ed90-4661-87d2-3c58f8258e7d&xptdk=501edd0b-ed90-4661-87d2-3c58f8258e7d","null","null","null","null","null"
"1668866765-9","https://shopee.co.id/mall/brands/11042849","17Seven","https://shopee.co.id/seventeenseven","","1,8RB","78% (hitungan jam)","80,4RB","4.7 (48,3RB penilaian)","4 tahun lalu","null","KOTA JAKARTA TIMUR","78%off17Seven Original Celana Panjang Chino 015-HITAM-AKMurah LebayRp409.000Rp90.00010RB+ TerjualKOTA JAKARTA TIMUR","https://shopee.co.id/17Seven-Original-Celana-Panjang-Chino-015-HITAM-AK-i.91485121.7350661850?sp_atk=763d2116-f795-4fd4-8b0d-e17dc8ecfb60&xptdk=763d2116-f795-4fd4-8b0d-e17dc8ecfb60","null","null","null","null","null"
"1668866847-10","https://shopee.co.id/mall/brands/11042849","07:35","https://shopee.co.id/0735_apparel","","52","73% (hitungan jam)","9,3RB","4.9 (1,4RB penilaian)","27 bulan lalu","null","KOTA JAKARTA UTARA","07:35 - Random SaleRp73.500243 TerjualKOTA JAKARTA UTARA","https://shopee.co.id/07-35-Random-Sale-i.298491252.9975420944?sp_atk=e3088619-8c83-464a-94a0-1360d3529d29&xptdk=e3088619-8c83-464a-94a0-1360d3529d29","null","null","null","null","null"
